no,tanggal,waktu_WIB,epoch_ms,pH,suhu_C,status_pompa
1,2026-05-31,11:50:00,1780203000000,7.31,35.8,WAITING
2,2026-05-31,12:00:00,1780203600000,7.35,36.1,WAITING
3,2026-05-31,12:10:00,1780204200000,7.36,36.2,WAITING
4,2026-05-31,12:20:00,1780204800000,7.36,35.9,WAITING
5,2026-05-31,12:30:00,1780205400000,7.36,36.1,WAITING
6,2026-05-31,12:40:00,1780206000000,7.35,35.9,WAITING
7,2026-05-31,12:50:00,1780206600000,7.4,36.3,WAITING
8,2026-05-31,13:00:00,1780207200000,7.43,36.8,WAITING
9,2026-05-31,13:10:00,1780207800000,7.43,36.8,WAITING
10,2026-05-31,13:20:00,1780208400000,7.44,36.8,WAITING
11,2026-05-31,13:30:00,1780209000000,7.45,36.6,WAITING
12,2026-05-31,13:40:00,1780209600000,7.45,36.4,WAITING
13,2026-05-31,13:50:00,1780210200000,7.45,36.3,WAITING
14,2026-05-31,14:00:00,1780210800000,7.45,36.2,WAITING
15,2026-05-31,14:10:00,1780211400000,7.42,36.1,WAITING
16,2026-05-31,14:20:00,1780212000000,7.36,36.2,WAITING
17,2026-05-31,14:30:00,1780212600000,7.45,36.0,WAITING
18,2026-05-31,14:40:00,1780213200000,7.45,35.8,WAITING
19,2026-05-31,14:50:00,1780213800000,7.47,35.6,WAITING
20,2026-05-31,15:10:00,1780215000000,7.47,35.5,WAITING
21,2026-05-31,15:20:00,1780215600000,7.47,35.5,WAITING
22,2026-05-31,15:30:00,1780216200000,7.46,35.1,WAITING
23,2026-05-31,15:40:00,1780216800000,7.48,35.1,WAITING
24,2026-05-31,15:50:00,1780217400000,7.4,34.8,WAITING
25,2026-05-31,16:00:00,1780218000000,7.46,34.7,WAITING
26,2026-05-31,16:10:00,1780218600000,7.47,34.9,WAITING
27,2026-05-31,16:20:00,1780219200000,7.48,34.5,WAITING
