waktu,suhu,ph
2026-05-01 00:00,27.7,7.69
2026-05-01 00:10,27.6,7.65
2026-05-01 00:20,27.6,7.62
2026-05-01 00:30,27.5,7.65
2026-05-01 00:40,27.6,7.62
2026-05-01 00:50,27.5,7.63
2026-05-01 01:00,27.5,7.59
2026-05-01 01:10,27.4,7.57
2026-05-01 01:20,27.0,7.59
2026-05-01 01:30,27.2,7.61
2026-05-01 01:40,27.3,7.56
2026-05-01 01:50,27.3,7.56
2026-05-01 02:00,27.2,7.57
2026-05-01 02:10,27.2,7.58
2026-05-01 02:20,27.3,7.57
2026-05-01 02:30,27.3,7.57
2026-05-01 02:40,27.1,7.54
2026-05-01 02:50,27.1,7.56
2026-05-01 03:00,27.1,7.59
2026-05-01 03:10,27.1,7.52
2026-05-01 03:20,27.3,7.57
2026-05-01 03:30,27.2,7.56
2026-05-01 03:40,27.4,7.54
2026-05-01 03:50,27.0,7.53
2026-05-01 04:00,27.3,7.51
2026-05-01 04:10,27.2,7.54
2026-05-01 04:20,27.2,7.55
2026-05-01 04:30,27.4,7.59
2026-05-01 04:40,27.4,7.53
2026-05-01 04:50,27.3,7.53
2026-05-01 05:00,27.5,7.54
2026-05-01 05:10,27.4,7.57
2026-05-01 05:20,27.4,7.55
2026-05-01 05:30,27.3,7.54
2026-05-01 05:40,27.5,7.57
2026-05-01 05:50,27.8,7.57
2026-05-01 06:00,27.7,7.58
2026-05-01 06:10,27.9,7.6
2026-05-01 06:20,27.8,7.56
2026-05-01 06:30,28.0,7.6
2026-05-01 06:40,28.1,7.6
2026-05-01 06:50,28.2,7.6
2026-05-01 07:00,28.2,7.61
2026-05-01 07:10,28.1,7.6
2026-05-01 07:20,28.2,7.66
2026-05-01 07:30,28.4,7.65
2026-05-01 07:40,28.1,7.66
2026-05-01 07:50,28.5,7.64
2026-05-01 08:00,28.4,7.66
2026-05-01 08:10,28.8,7.65
2026-05-01 08:20,28.6,7.71
2026-05-01 08:30,28.7,7.69
