waktu,suhu,ph
2026-05-31 11:50,35.8,7.31
2026-05-31 12:00,36.1,7.35
2026-05-31 12:10,36.2,7.36
2026-05-31 12:20,35.9,7.36
2026-05-31 12:30,36.1,7.36
2026-05-31 12:40,35.9,7.35
2026-05-31 12:50,36.3,7.4
2026-05-31 13:00,36.8,7.43
2026-05-31 13:10,36.8,7.43
2026-05-31 13:20,36.8,7.44
2026-05-31 13:30,36.6,7.45
2026-05-31 13:40,36.4,7.45
2026-05-31 13:50,36.3,7.45
2026-05-31 14:00,36.2,7.45
2026-05-31 14:10,36.1,7.42
2026-05-31 14:20,36.2,7.36
2026-05-31 14:30,36.0,7.45
2026-05-31 14:40,35.8,7.45
2026-05-31 14:50,35.6,7.47
