waktu,suhu,ph
2026-06-02 12:50,34.6,7.58
2026-06-02 13:00,35.4,7.63
2026-06-02 13:10,35.6,7.63
2026-06-02 13:20,35.7,7.61
2026-06-02 13:30,35.6,7.64
2026-06-02 13:40,35.7,7.64
2026-06-02 13:50,35.7,7.64
2026-06-02 14:00,35.5,7.63
2026-06-02 14:10,35.6,7.6
2026-06-02 14:20,35.8,7.58
2026-06-02 14:30,36.0,7.63
2026-06-02 14:40,35.9,7.65
2026-06-02 14:50,35.7,7.65
2026-06-02 15:00,35.6,7.64
2026-06-02 15:10,35.5,7.65
2026-06-02 15:20,35.4,7.63
2026-06-02 15:30,35.3,7.63
2026-06-02 15:40,35.2,7.62
2026-06-02 15:50,35.2,7.6
2026-06-02 16:00,35.1,7.56
2026-06-02 16:10,34.9,7.64
2026-06-02 16:20,34.7,7.64
2026-06-02 16:30,34.7,7.64
2026-06-02 16:40,34.6,7.63
2026-06-02 16:50,34.4,7.63
2026-06-02 17:00,34.4,7.62
2026-06-02 17:10,34.3,7.6
2026-06-02 17:20,34.2,7.58
2026-06-02 17:30,34.2,7.56
2026-06-02 17:40,34.1,7.62
2026-06-02 17:50,34.0,7.61
2026-06-02 18:00,33.9,7.61
2026-06-02 18:10,33.9,7.6
2026-06-02 18:20,33.9,7.59
2026-06-02 18:30,33.8,7.58
2026-06-02 18:40,33.7,7.57
2026-06-02 18:50,33.6,7.57
2026-06-02 19:00,33.6,7.55
2026-06-02 19:10,33.6,7.49
2026-06-02 19:20,33.6,7.57
2026-06-02 19:30,33.5,7.57
2026-06-02 19:40,33.4,7.57
2026-06-02 19:50,33.4,7.57
2026-06-02 20:00,33.3,7.55
2026-06-02 20:10,33.3,7.53
2026-06-02 20:20,33.2,7.52
2026-06-02 20:30,33.2,7.52
2026-06-02 20:40,33.2,7.49
2026-06-02 20:50,33.2,7.54
2026-06-02 21:00,33.1,7.53
2026-06-02 21:10,33.0,7.54
2026-06-02 21:20,33.0,7.53
2026-06-02 21:30,32.9,7.53
2026-06-02 21:40,32.9,7.53
2026-06-02 21:50,32.8,7.52
2026-06-02 22:00,32.8,7.51
2026-06-02 22:10,32.7,7.49
2026-06-02 22:20,32.7,7.43
2026-06-02 22:30,32.6,7.54
2026-06-02 22:40,32.6,7.53
2026-06-02 22:50,32.6,7.53
2026-06-02 23:00,32.5,7.51
2026-06-02 23:10,32.5,7.5
2026-06-02 23:20,32.4,7.5
2026-06-02 23:30,32.4,7.49
2026-06-02 23:40,32.3,7.48
2026-06-02 23:50,32.3,7.46
2026-06-03 00:00,32.2,7.51
2026-06-03 00:10,32.2,7.49
2026-06-03 00:20,32.2,7.51
2026-06-03 00:30,32.1,7.5
2026-06-03 00:40,32.1,7.51
2026-06-03 00:50,32.1,7.48
2026-06-03 01:00,32.0,7.48
2026-06-03 01:10,31.9,7.47
2026-06-03 01:20,31.8,7.45
2026-06-03 01:30,31.8,7.4
2026-06-03 01:40,31.8,7.49
2026-06-03 01:50,31.7,7.48
2026-06-03 02:00,31.6,7.48
2026-06-03 02:10,31.6,7.49
2026-06-03 02:20,31.6,7.48
2026-06-03 02:30,31.6,7.47
2026-06-03 02:40,31.5,7.47
2026-06-03 02:50,31.4,7.45
2026-06-03 03:00,31.4,7.42
2026-06-03 03:10,31.4,7.34
2026-06-03 03:20,31.4,7.49
2026-06-03 03:30,31.3,7.49
2026-06-03 03:40,31.2,7.48
2026-06-03 03:50,31.2,7.48
2026-06-03 04:00,31.2,7.47
2026-06-03 04:10,31.1,7.47
2026-06-03 04:20,31.1,7.46
2026-06-03 04:30,31.1,7.43
2026-06-03 04:40,31.0,7.39
2026-06-03 04:50,30.9,7.48
2026-06-03 05:00,30.9,7.48
2026-06-03 05:10,30.9,7.48
2026-06-03 05:20,30.8,7.47
2026-06-03 05:30,30.8,7.48
2026-06-03 05:40,30.8,7.47
2026-06-03 05:50,30.7,7.46
2026-06-03 06:00,30.7,7.43
2026-06-03 06:10,30.6,7.4
2026-06-03 06:20,30.6,7.32
2026-06-03 06:30,30.6,7.46
2026-06-03 06:40,30.6,7.46
2026-06-03 06:50,30.5,7.45
2026-06-03 07:00,30.4,7.45
2026-06-03 07:10,30.4,7.45
2026-06-03 07:20,30.5,7.43
2026-06-03 07:30,30.5,7.42
2026-06-03 07:40,30.4,7.4
2026-06-03 07:50,30.4,7.35
2026-06-03 08:00,30.6,7.43
2026-06-03 08:10,30.7,7.43
2026-06-03 08:20,30.9,7.47
2026-06-03 08:30,30.9,7.46
2026-06-03 08:40,30.7,7.48
2026-06-03 08:50,31.0,7.48
2026-06-03 09:00,31.0,7.48
2026-06-03 09:10,30.9,7.48
2026-06-03 09:20,31.1,7.47
2026-06-03 09:30,31.3,7.38
2026-06-03 09:40,31.6,7.5
2026-06-03 09:50,31.9,7.5
2026-06-03 10:00,32.2,7.51
2026-06-03 10:10,32.2,7.51
2026-06-03 10:20,32.6,7.53
2026-06-03 10:30,32.9,7.52
2026-06-03 10:40,33.1,7.52
2026-06-03 10:50,33.3,7.5
2026-06-03 11:00,33.7,7.49
2026-06-03 11:10,33.8,7.52
2026-06-03 11:20,34.2,7.53
2026-06-03 11:30,34.5,7.52
2026-06-03 11:40,34.6,7.53
2026-06-03 11:50,35.1,7.53
2026-06-03 12:00,34.9,7.53
2026-06-03 12:10,34.8,7.52
2026-06-03 12:20,35.1,7.54
2026-06-03 12:30,35.4,7.54
2026-06-03 12:40,35.2,7.51
2026-06-03 12:50,35.0,7.57
